"company_id","period","field_path","purpose","source_id","published_at","source_title","source_url","local_path","evidence_tier","verification_status"
"AMZN","FY2026-Q1","raw_financials.operating_income","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","raw_financials.net_income","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","raw_financials.eps_diluted","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","raw_financials.shares_diluted","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","segment_breakdown","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","transcript_excerpt","pre_decision","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
"AMZN","FY2026-Q1","presentation_text","pre_decision","AMZN_IR_Q1_SLIDES","2026-04-29","Amazon Q1 2026 webcast slides","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/presentation/Webslides_Q126.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_webcast_slides.pdf","primary","verified"
"AMZN","FY2026-Q1","surprise_metrics","pre_decision","AMZN_CAPITAL_PRE_20260429","2026-04-29","Amazon pre-earnings consensus snapshot","https://capital.com/en-int/market-updates/amazon-stock-forecast-04-05-2026","02_sector_db/company_db/processed/AMZN_capital_pre_earnings_2026-04-29.txt","secondary_dated","verified"
"AMZN","FY2026-Q1","peer_multiples","pre_decision","MSFT_HENRY_20260422","2026-04-22","Henry Fund Microsoft report - common cloud peer table","https://henryfund.tippie.uiowa.edu/sites/henryfund.tippie.uiowa.edu/files/2026-04/MSFT-S26.pdf","02_sector_db/company_db/raw/research/MSFT/msft_henry_fund_2026-04-22.pdf","secondary_dated","verified"
"AMZN","FY2026-Q1","current_price","pre_decision","AMZN_YAHOO_PRE","2026-04-29","AMZN event-window close","https://query1.finance.yahoo.com/v8/finance/chart/AMZN","02_sector_db/company_db/raw/market_prices/AMZN_yahoo_chart_2026-04-27_2026-05-02.json","market_data","verified"
"AMZN","FY2026-Q1","valuation_reference.target","pre_decision","AMZN_CAPITAL_PRE_20260429","2026-04-29","Amazon pre-earnings consensus snapshot","https://capital.com/en-int/market-updates/amazon-stock-forecast-04-05-2026","02_sector_db/company_db/processed/AMZN_capital_pre_earnings_2026-04-29.txt","secondary_dated","verified"
"AMZN","FY2026-Q1","valuation_reference.n_analysts","pre_decision","AMZN_CAPITAL_PRE_20260429","2026-04-29","Amazon pre-earnings consensus snapshot","https://capital.com/en-int/market-updates/amazon-stock-forecast-04-05-2026","02_sector_db/company_db/processed/AMZN_capital_pre_earnings_2026-04-29.txt","secondary_dated","verified"
"AMZN","FY2026-Q1","model_output.new_target","pre_decision","AMZN_SP_PRE_20260423","2026-04-23","S&P Global Amazon Q1 2026 earnings preview","https://www.spglobal.com/market-intelligence/en/news-insights/research/2026/04/amazon-earnings-preview-q1-2026",,"secondary_dated_remote","verified"
"AMZN","FY2026-Q1","forecast_history","evaluation","AMZN_IR_Q1_RELEASE","2026-04-29","Amazon Q1 2026 earnings release","https://s2.q4cdn.com/299287126/files/doc_earnings/2026/q1/earnings-result/AMZN-Q1-2026-Earnings-Release.pdf","02_sector_db/company_db/raw/research/AMZN/amzn_q1_2026_earnings_release.pdf","primary","verified"
